RES_ID,LOC,GENDER,AGE,WEIGHT,FREQUENCY,PRICE,WAIT_TIME,FOOD_PREFERENCE,MOOD,DISH CHOSEN,CUISINE,INGREDIENTS,DISH TYPE,ALLERGENS
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chicken manchurian,Chinese,"chicken mince, Eggs (slightly beaten), refined flour, garlic paste, ginger paste, Oil (for deep frying), oil, garlic, onions, capsicum, corn flour (blended), water, vinegar, salt, soya sauce, tomato puree, celery, water",Non-Vegetarian,Eggs
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,schezuan chicken,Chinese,"boneless skinless chicken, cornstarch, ground pepper, oil, ginger, garlic, vinegar , sesame oil, Sesame seeds, white rice",Non-Vegetarian,Sesame
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Vegetarian,Soy
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,sesame honey chilli potatoes,Chinese,"potatoes (sliced), cornflour or maida, salt, red chilli powder, Oil (for deep frying), oil, spring onions (with stalk), garlic paste, capsicum, honey, salt, soya sauce, white sesame seeds, chilli sauce",Vegetarian,Sesame
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chicken tikka masala,North Indian,Chicken marinated in a Yogurt tomato sauce. It is known to have a creamy texture.,Non-Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,daal puri,North Indian,Stuffed dal in parathas,Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,dal tadka,North Indian,"Typical north Indian tadka,Assorted types of lentils, such as toor, urad, chana, masoor dal",Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,dum aloo,North Indian,Potatoes cooked in curry,Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,gobhi matar,North Indian,Cauliflower in a tomato sauce,Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,litti chokha,North Indian,a baked salted wheat flour cake filled with sattu (baked chickpea flour) and some special spices,Vegetarian,Wheat
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,makki di roti sarson da saag,North Indian,"Creamed sarson mustard leaves, with heavily buttered roti made from corn flour. Punjabi winter favorite.",Vegetarian,corn
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Stressed,gajar ka halwa,Beverages & Desserts,"Carrots, milk, sugar, ghee, cashews, raisins",Vegetarian,Milk
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Stressed,gulab jamun,Beverages & Desserts,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Vegetarian,Milk
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,curd rice,South Indian,"Yoghurt, Urad dal, Rice",Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,mutton rogan josh,South Indian,"Mutton,hung curd,saffron,cinnamon,milk,fennel seeds",Non-Vegetarian,Milk
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Binge Watching,paneer biryani,South Indian,"Rice, paneer,vegitables,onions, ginger, garlic, green chilies, cilantro, mint and curry leaves.",Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Workaholic,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,chicken lasagne,Continental/Italian,"Chicken thigh,fillets, fresh lasagne sheets,tomato,butter",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,chicken sandwich,Continental/Italian,"chicken,cucumber,garam masala,olive oil, mustard, butter",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,chicken pizza,Continental/Italian,"skinless chicken breasts ,pizza crust,sweet italian sausage,canned black beans",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,white sauce pasta,Continental/Italian,"Penne Pasta,Pizza, butter, carrot,garlic",Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Happy,veg manchurian,Chinese,"Mixed Vegetables - chopped fine or grated, Eggs (slightly beaten), Refined Flour, Garlic Paste, Ginger Paste, Water, Oil , Garlic , Onions , Capsicum, Cornflour (blended with water), Vinegar, Salt, Soya Sauce, Tomato Puree, Celery, Ajinomoto (optional), Water",Vegetarian,Eggs
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,chicken lasagne,Continental/Italian,"Chicken thigh,fillets, fresh lasagne sheets,tomato,butter",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,chicken sandwich,Continental/Italian,"chicken,cucumber,garam masala,olive oil, mustard, butter",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,chicken pizza,Continental/Italian,"skinless chicken breasts ,pizza crust,sweet italian sausage,canned black beans",Non-Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,white sauce pasta,Continental/Italian,"Penne Pasta,Pizza, butter, carrot,garlic",Vegetarian,
1PDw2qld,Hyderabad,Female,15-25,46-60,Occasional,250-500,More than 40 min,Non-Vegetarian,Stressed,veg manchurian,Chinese,"Mixed Vegetables - chopped fine or grated, Eggs (slightly beaten), Refined Flour, Garlic Paste, Ginger Paste, Water, Oil , Garlic , Onions , Capsicum, Cornflour (blended with water), Vinegar, Salt, Soya Sauce, Tomato Puree, Celery, Ajinomoto (optional), Water",Vegetarian,Eggs
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,bisi bele bath,South Indian,"Vegetable, Asafoetida, Curry tree, Pigeon pea, Tamarind, Masala, Nutmeg",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,south indian meals,South Indian,"rice, curd, wheat,curry leaves, mustard, asafetida, pepper and peppercorns, tamarind, chilies, and fenugreek seeds",Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,paneer dosa,South Indian,"Paneer,dosa batter,Garam masala powder,tomato,garlic,turmeric,green chilli",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,veg biryani,South Indian,"Rice, vegitables,onions, ginger, garlic, green chilies, cilantro, mint and curry leaves.",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,garlic naan,North Indian,Tandoor-baked soft flatbread made with refined wheat flour and garlic,Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,palak paneer,North Indian,Paneer cubes in spinach gravy,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,paneer butter masala,North Indian,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,paneer tikka masala,North Indian,vegetarian alternative to chicken tikka masala,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,rajma chaval,North Indian,a bean curry with rice,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,shahi paneer,North Indian,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,vanilla ice cream,Beverages & Desserts,"Milk, Sugar, Milk Powder, Hot Milk, Vanilla Essence, Almonds",Vegetarian,Milk
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Happy,milk shake,Beverages & Desserts,"Milk, Sugar, Ice cream, Fruits",Vegetarian,Milk
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,bisi bele bath,South Indian,"Vegetable, Asafoetida, Curry tree, Pigeon pea, Tamarind, Masala, Nutmeg",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,vada,South Indian,"Chili pepper, Curry tree, Onions, Lentils",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,curd rice,South Indian,"Yoghurt, Urad dal, Rice",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,idly,South Indian,"Rice, Urad dal",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,upma,South Indian,Semolina,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,pulihora,South Indian,"Rice, Mustard seed, Curry tree, Urad dal, Lemon, Tamarind",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,south indian meals,South Indian,"rice, curd, wheat,curry leaves, mustard, asafetida, pepper and peppercorns, tamarind, chilies, and fenugreek seeds",Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,poori,South Indian,"Salt, Wheat Flour, Atta flour, Vegetable Oil",Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,butter dosa,South Indian,"Puffed rice,parboiled rice,Butter,Maida,Fenugreek seeds",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,paneer dosa,South Indian,"Paneer,dosa batter,Garam masala powder,tomato,garlic,turmeric,green chilli",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,sambar rice,South Indian,"Chana dal,Urad dal,Toor Dal, Beans, Coconut, rice",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,veg biryani,South Indian,"Rice, vegitables,onions, ginger, garlic, green chilies, cilantro, mint and curry leaves.",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,uttapam,South Indian,"Rice, Onion, Rice Flour, Tomato, Urad dal, White lentils",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,aloo gobi,North Indian,"Cauliflower with potatoes sautéed with garam masala, turmeric, sometimes kalonji and curry leaves.",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,aloo matar,North Indian,Potatoes and peas in curry,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,aloo shimla mirch,North Indian,"Green capsicum with potatoes sautéed with cumin seeds, onions, tomatoes, ginger-garlic paste, turmeric, red chilli powder and garam masala",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,chana masala,North Indian,Chickpeas of the Chana type in tomato based sauce.,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,chapati,North Indian,"unleavened flatbread originating from the Indian subcontinent and staple in India, Nepal, Bangladesh, Pakistan, Sri Lanka, East Africa and the Caribbean.",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,chole bhature,North Indian,"Main course with Chick peas, assorted spices, wheat flour and bhatura yeast.",Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,daal puri,North Indian,Stuffed dal in parathas,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,dal tadka,North Indian,"Typical north Indian tadka,Assorted types of lentils, such as toor, urad, chana, masoor dal",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,dum aloo,North Indian,Potatoes cooked in curry,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,gobhi matar,North Indian,Cauliflower in a tomato sauce,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,litti chokha,North Indian,a baked salted wheat flour cake filled with sattu (baked chickpea flour) and some special spices,Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,makki di roti sarson da saag,North Indian,"Creamed sarson mustard leaves, with heavily buttered roti made from corn flour. Punjabi winter favorite.",Vegetarian,corn
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,mixed vegetable,North Indian,"mixed vegetables, slow cooked with a tomato sauce added.",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,garlic naan,North Indian,Tandoor-baked soft flatbread made with refined wheat flour and garlic,Vegetarian,Wheat
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,palak paneer,North Indian,Paneer cubes in spinach gravy,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,paneer butter masala,North Indian,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,paneer tikka masala,North Indian,vegetarian alternative to chicken tikka masala,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,rajma chaval,North Indian,a bean curry with rice,Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,mojito,Beverages & Desserts,"mint leaves, simple syrup, fresh lime juice, crushed ice, club soda, lime wedges",Vegetarian,
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,shahi tukda,Beverages & Desserts,"almonds, green unsalted pistachio, bread slices, Oil, milk, green cardamom powder , sugar, saffron, screw pine (kewda) water, candied ginger, pineapple,",Vegetarian,Milk
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,vanilla ice cream,Beverages & Desserts,"Milk, Sugar, Milk Powder, Hot Milk, Vanilla Essence, Almonds",Vegetarian,Milk
uqDwLHlV,Hyderabad,Female,15-25,61-75,Alternate Week,250-500,30-40 min,Vegetarian,Romantic,milk shake,Beverages & Desserts,"Milk, Sugar, Ice cream, Fruits",Vegetarian,Milk
dUDwx9b2,Hyderabad,Male,15-25,91-105,Occasional,250-500,More than 40 min,Vegetarian,Happy,dal tadka,North Indian,"Typical north Indian tadka,Assorted types of lentils, such as toor, urad, chana, masoor dal",Vegetarian,
dUDwx9b2,Hyderabad,Male,15-25,91-105,Occasional,250-500,More than 40 min,Vegetarian,Happy,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
dUDwx9b2,Hyderabad,Male,15-25,91-105,Occasional,250-500,More than 40 min,Vegetarian,Happy,garlic naan,North Indian,Tandoor-baked soft flatbread made with refined wheat flour and garlic,Vegetarian,Wheat
dUDwx9b2,Hyderabad,Male,15-25,91-105,Occasional,250-500,More than 40 min,Vegetarian,Happy,paneer butter masala,North Indian,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,Vegetarian,
